id,student_id,question_id,question,answer,sample_solution,rubric,level
100118_physik_2.5.3,100118,physik_2.5.3,Berechne das Verhältnis von Strahlungsleistung zu elektrischer Leistung. Wie viel Prozent der Eingangsleistung wird zur Strahlung genutzt?,"Messwerte Lampen Lampe Spannung V Stromstärke I elektrische Leistung Strahlungsleistung Wirkungsgrad Energiesparlampe 230 V 0,12 A 27,6 W 4 W 6,9 Glühlampe 230 V 0,35 A 80,5 W 4 W 20,125 LED 230 V 0,04 A 9,2 W 4 W 2,3
","Das Verhältnis von Strahlungsleistung zu elektrischer Leistung kannst du mit folgender Formel berechnen:η = Psl/Pel; η = WirkungsgradEnergiesparlampe: ηEsl = Psl/Pel = 4 W / 27,6 W = 0,145 = 14,5%,Glühlampe: ηGL = Psl/Pel = 4 W / 80,5 W = 0,050 = 5%,LED: ηLED = Psl/Pel = 4 W / 9,2 W = 0,435 = 43,5%","{""0"": ""Berechnen keinen Wirkungsgrad korrekt."", ""1"": ""Berechnen einen Wirkungsgrad korrekt."", ""2"": ""Berechnen mindestens zwei Wirkungsgrade korrekt.""}",0
81105_physik_2.3.8,81105,physik_2.3.8,Beschreibe die Bedeutung des Wirkungsgrades für Energieumwandlungen.,"Der Wirkungsgrad beschreibt , wie viel Energie in etwas einfließt und wie viel Energie danach übrig bleibt , also wie viel energie effektiv genutzt wird .
","Der Wirkungsgrad beschreibt, welcher Anteil der zugeführten, elektrischen Energie, in die gewünschte Energieform, Strahlungsenergie, umgewandelt wird. Ein hoher Wirkungsgrad bedeutet, dass viel Elektrische Energie in Strahlungsenergie umgewandelt wird. Ein niedriger Wirkungsgrad bedeutet, dass viel Elektrische Energie in thermische Energie umgewandelt wird, die nicht mehr zur Beleuchtung genutzt werden kann. ","{""0"": ""Die SuS nutzen weder zugeführte Energie noch nutzbare Energie bei der Erklärung des Wirkungsgrades."", ""1"": ""Die SuS nutzen entweder zugeführte Energie oder nutzbare Energie bei der Erklärung des Wirkungsgrades. oder- Die SuS nutzen Effizienz zur Beschreibung (nennen aber nur, beschreiben nicht exakt)"", ""2"": ""Die SuS nutzen zugeführte Energie und nutzbare Energie bei der Erklärung des Wirkungsgrades. oder- Die SuS nutzen die Effizienz zur Beschreibung (dabei muss aber genau beschrieben werden)""}",1
76128_physik_2.5.3,76128,physik_2.5.3,Berechne das Verhältnis von Strahlungsleistung zu elektrischer Leistung. Wie viel Prozent der Eingangsleistung wird zur Strahlung genutzt?,"Messwerte Lampen Lampe Spannung V Stromstärke I elektrische Leistung Strahlungsleistung Wirkungsgrad Energiesparlampe 230 V 0,12 A 27,6 W 4 W 14,49 % Glühlampe 230 V 0,35 A 80,5 W 4 W 4,97 % LED 230 V 0,04 A 9,2 W 4 W 43,48 %
","Das Verhältnis von Strahlungsleistung zu elektrischer Leistung kannst du mit folgender Formel berechnen:η = Psl/Pel; η = WirkungsgradEnergiesparlampe: ηEsl = Psl/Pel = 4 W / 27,6 W = 0,145 = 14,5%,Glühlampe: ηGL = Psl/Pel = 4 W / 80,5 W = 0,050 = 5%,LED: ηLED = Psl/Pel = 4 W / 9,2 W = 0,435 = 43,5%","{""0"": ""Berechnen keinen Wirkungsgrad korrekt."", ""1"": ""Berechnen einen Wirkungsgrad korrekt."", ""2"": ""Berechnen mindestens zwei Wirkungsgrade korrekt.""}",2
92117_physik_4.7.7,92117,physik_4.7.7,Nenne und Vor- und Nachteile einer Power-to-Gas Anlage.,"+ Speichern möglich -Viele Umwandlungswege
","Vorteile:
• Nutzung von überschüssiger Energie, welche sonst nicht genutzt wurde
• Saisonale Speicherung der Energie in Gasform bis zu Monaten
• Bietet die Möglichkeit CO2 auch aus industriellen Prozessen zu binden
Nachteile:
• Durch die Umwandlung in Gas erniedrigt sich der Gesamtwirkungsgrad
• hohe Kosten für die Technologie","{""0"": ""Die SuS nennen nur einen Vor- oder Nachteil."", ""1"": ""Die SuS nennen insgesamt drei Vor- oder Nachteile."", ""2"": ""Die SuS nennen insgesamt mindestens vier Vor- oder Nachteile.""}",0
89122_physik_3.11.7,89122,physik_3.11.7,"Erläutere, was mit der Energie geschehen ist, die nicht in Elektrische Energie umgewandelt wurde.","20 % der Strahlenenergie werden in elektrische Energie umgewandelt .
Die restlichen 80 % werden in thermische Energie ( Wärme ) und in Lichtenergie ( Reflektion ) abgegeben .
",Ein Teil der Strahlungsenergie wird von den PV-Zellen reflektiert (bleibt Strahlungsenergie) und ein Teil wird in thermische Energie umgewandelt.,"{""0"": ""Die SuS erkennen nicht, dass nicht die vollständige Energie in Elektrische Energie umgewandelt wurde."", ""1"": ""Die SuS erklären, dass Energie unter anderem in thermische Energie umgewandelt oder als Strahlungsenergie reflektiert wurde."", ""2"": ""Die SuS erklären, dass Energie unter anderem in thermische Energie umgewandelt und als Strahlungsenergie reflektiert wurde.""}",2
98118_physik_3.6.2,98118,physik_3.6.2,"Leitet auf Grundlage der Muster und der Messwerte zwei ""Je - desto"" Aussagen für die Ausrichtung der PV-Zelle ab.","Je direkter die Lichtquelle auf das Solarpanel strahlt , desto höher ist die erzeugte Spannung .
Je mehr von dem Panel verdeckt wurde , desto weniger Spannung wurde erzeugt .
","Je senkrechter die PV-Zelle zur Strahlungsquelle ausgerichtet ist, desto höher ist die Elektrische Energie. Je mehr Licht die PV-Zelle erreicht (je geringer die PV-Zelle verschattet ist), desto höher ist die Elektrische Energie.","{""0"": ""Die SuS formulieren keine je-desto-Aussagen zum Einstrahlungswinkel und beschienenen Fläche. "", ""1"": ""Die SuS formulieren eine je-desto-Aussagen zu Einstrahlungswinkel oder beschienenen Fläche. "", ""2"": ""Die SuS formulieren zwei je-desto-Aussagen zu Einstrahlungswinkel und beschienenen Fläche. ""}",2
85111_physik_5.6.2,85111,physik_5.6.2,Erkläre den Begriff CO2- Äquivalent kurz in eigenen Worten.,"CO2 -Äquivalent ist eine Maßeinheit , die verwendet wird , um verschiedene Treibhausgase zu vergleichen und zu standardisieren .
Sie basiert auf der Fähigkeit von Treibhausgasen , Wärme in der Erdatmosphäre zu speichern und zu verhindern , dass sie ins All abgestrahlt wird .
",CO2-Äquivalente sind eine Maßeinheit zur Vereinheitlichung der Klimawirkung der unterschiedlichen Treibhausgase. Dabei wird die Klimawirkung der anderen Treibhausgase (Methan etc.) auf die Klimawirkung von CO2 umgerechnet. Somit werden alle Treibhausgasemissionen unter dem Oberbegriff CO2-Äquivalent zusammengefasst.,"{""0"": ""Die SuS erklären den Begriff CO2-Äquvalent nicht."", ""1"": ""Die SuS erklären den Begriff CO2-Äquvalent entweder als Vereinheitlichung unterschiedlicher Treibhausgase oder die Umrechnung auf die Wirkung von CO2."", ""2"": ""Die SuS erklären den Begriff CO2-Äquvalent als Vereinheitlichung unterschiedlicher Treibhausgase und die Umrechnung auf die Wirkung von CO2.""}",1
89119_physik_2.5.3,89119,physik_2.5.3,Berechne das Verhältnis von Strahlungsleistung zu elektrischer Leistung. Wie viel Prozent der Eingangsleistung wird zur Strahlung genutzt?,"Messwerte Lampen Lampe Spannung V Stromstärke I elektrische Leistung Strahlungsleistung Wirkungsgrad Energiesparlampe 230 V 0,12 A 27,6 W 4 W 14,15 Glühlampe 230 V 0,35 A 80,5 W 4 W 5,16 LED 230 V 0,04 A 9,2 W 4 W 43,47
","Das Verhältnis von Strahlungsleistung zu elektrischer Leistung kannst du mit folgender Formel berechnen:η = Psl/Pel; η = WirkungsgradEnergiesparlampe: ηEsl = Psl/Pel = 4 W / 27,6 W = 0,145 = 14,5%,Glühlampe: ηGL = Psl/Pel = 4 W / 80,5 W = 0,050 = 5%,LED: ηLED = Psl/Pel = 4 W / 9,2 W = 0,435 = 43,5%","{""0"": ""Berechnen keinen Wirkungsgrad korrekt."", ""1"": ""Berechnen einen Wirkungsgrad korrekt."", ""2"": ""Berechnen mindestens zwei Wirkungsgrade korrekt.""}",2
81105_physik_5.1.1,81105,physik_5.1.1,"In dem Video siehst du die abstrakte Funktionsweise eines klassischen Gaskraftwerks.
Beschreibe die Funktionsweise in eigenen Worten.","Dampfkessel wird Wasser zugeführt , das erhitzt wird und es entsteht Wasserdampf . aus der dampfdüse kommt wasserdampf und das dreht sich in der Dampfturbine .
",In den Dampfkessel wird über die Wasserzufuhr Wasser eingeleitet. Der Dampfkessel wird über eine Gas-angetriebene Wärmequelle erhitzt und das Wasser verdampft. Durch den erhöhten Druck strömt das Gas durch die Dampfdüse aus und treibt eine Dampfturbine an. Diese wandelt Kinetische Energie in Elektrische Energie um.,"{""0"": ""Die SuS beschreiben die Funktionsweise nicht korrekt."", ""1"": ""Die SuS beschreiben nur einen Teil, entweder den Verbrennungs-/ Verdampfungsprozess oder den Antrieb der Dampfturbine."", ""2"": ""Die SuS beschreiben die Funktionsweise eines Dampfkraftwerks korrekt: es muss deutlich werden, dass Wasser verdampft wird und dieser Wasserdampf zum Antrieb der Dampfturbine genutzt wird.""}",1
89112_physik_5.7.1,89112,physik_5.7.1,"Erstelle mit den erarbeiteten Informationen den Steckbrief für das Gaskraftwerk.
Recherchiert zudem im Internet woher Deutschland sein Gas bezieht und wie es in Deutschland gespeichert wird.","Steckbrief Gaskraftwerk Kriterium Gaskraftwerk Wirkungsgrad 42 % abhängig von der Bauweise Verfügbarkeit der Energiequelle endlich Kosten ( je kWh ) 8 , 6ct Transport / Speicherung der Energieform aus dem Ausland über Pipelines / Gastanks , in Kavernen Umwelteinfluss CO2 Äquivalent 605 g / kWh Weitere Vorteile : flexibel in der Stromproduktion , geringere CO2 Emissionen als Kohlekraftwerke Nachteile Erdgas muss importiert werden , teurer als Kohlekraftwerke
","Vorteile:
• Bau von Erdgaskraftwerken recht schnell und kostengünstig
• Hohe Leistung und Wirkungsgrade
• Flexible Stromerzeugung und unterstützt Schwankungen im Stromnetz auszugleichen
Nachteile:
• Hohe Umweltbelastung durch CO2-Emissionen und weiteren gesundheitsgefährdenden Stoffen
• Begrenzte Verfügbarkeit der Gasvorräte und Abhängigkeit von wenigen Ländern mit Gasvorkommen 
Deutschland bezieht sein Erdgas zu 38,2 % aus Russland, 34,8 % aus Norwegen, 22,4 % aus den Niederlanden und zu 4,6 % aus sonstigen Quellen.
Speziell Kiel speichert seine Gasvorräte in Kavernen-Speichern in Kiel-Rönne. Dies ist ein unterirdischer Salzstock in Tiefen zwischen 650 und 1800m unter der Erdoberfläche. Dort werden 35 Millionen m³ komprimiertes Erdgas zwischengespeichert.","{""0"": ""nicht vorhanden"", ""1"": ""Die SuS füllen den Steckbrief teilweise aus, 2 - 3 von 5 Felder."", ""2"": ""vorhanden""}",2
90103_physik_4.7.5,90103,physik_4.7.5,"Das sind für eine Schule, bzw. das Land Schleswig-Holstein, eigentlich keine großen Kosten.
Doch wandelt ein Windrad, ähnlich wie eine Photovoltaik Anlage, nicht zuverlässig Bewegungsenergie in Elektrische Energie um. Im Artikel steht im letzten Absatz eine weitere Möglichkeit, wie Elektrische Energie gespeichert werden könnte.
Nenne die Möglichkeit, die Elektrische Energie zu speichern und die Energieform in welcher dies geschieht.","nachteile-sehr laut -können die natur beeinträchtigen -teuer vorteile-nur etwas lauter als regen -nicht ungesund -produziert tiefe töne die menschen nicht hören können -herstellung in deutschland
","Windräder müssen zu bestimmten Zeiten vom Stromnetz genommen werden, da sonst eine Überlastung des Stromnetzes bei weiterer Einspeisung resultieren kann. Eine Möglichkeit diese „überschüssige“ Energie doch zu nutzen, liegt in der Betreibung von Elektrolyseuren, in denen der Stromüberschuss in Wasserstoff umgewandelt wird und so länger gespeichert werden kann. Wasserstoff speichert chemische Energie.","{""0"": ""Die SuS nennen keine Möglichkeit die elektrsiche Energie zu speichern."", ""1"": ""Die SuS nennen P2G als eine Möglichkeit, ohne die Energieformen und/ oder die Umwandlung zu benennen."", ""2"": ""Die SuS nennen P2G als eine Möglichkeit die Elektrische Energie in chemischer Energie zu speichern.""}",0
81101_physik_5.6.2,81101,physik_5.6.2,Erkläre den Begriff CO2- Äquivalent kurz in eigenen Worten.,"CO2 -Äquivalent ist eine Maßeinheit zur Vereinheitlichung der Klimawirkung der unterschiedlichen Treibhausgase
",CO2-Äquivalente sind eine Maßeinheit zur Vereinheitlichung der Klimawirkung der unterschiedlichen Treibhausgase. Dabei wird die Klimawirkung der anderen Treibhausgase (Methan etc.) auf die Klimawirkung von CO2 umgerechnet. Somit werden alle Treibhausgasemissionen unter dem Oberbegriff CO2-Äquivalent zusammengefasst.,"{""0"": ""Die SuS erklären den Begriff CO2-Äquvalent nicht."", ""1"": ""Die SuS erklären den Begriff CO2-Äquvalent entweder als Vereinheitlichung unterschiedlicher Treibhausgase oder die Umrechnung auf die Wirkung von CO2."", ""2"": ""Die SuS erklären den Begriff CO2-Äquvalent als Vereinheitlichung unterschiedlicher Treibhausgase und die Umrechnung auf die Wirkung von CO2.""}",1
95110_physik_5.1.1,95110,physik_5.1.1,"In dem Video siehst du die abstrakte Funktionsweise eines klassischen Gaskraftwerks.
Beschreibe die Funktionsweise in eigenen Worten.","Das Wasser geht durch die Wasserzufuhr in einen Dampfkessel , in diesem wird das Wasser erhitzt und fängt an zu dampfen , dieser Dampf geht durch eine Dampfdüse und treibt die Dampfturbine an .
",In den Dampfkessel wird über die Wasserzufuhr Wasser eingeleitet. Der Dampfkessel wird über eine Gas-angetriebene Wärmequelle erhitzt und das Wasser verdampft. Durch den erhöhten Druck strömt das Gas durch die Dampfdüse aus und treibt eine Dampfturbine an. Diese wandelt Kinetische Energie in Elektrische Energie um.,"{""0"": ""Die SuS beschreiben die Funktionsweise nicht korrekt."", ""1"": ""Die SuS beschreiben nur einen Teil, entweder den Verbrennungs-/ Verdampfungsprozess oder den Antrieb der Dampfturbine."", ""2"": ""Die SuS beschreiben die Funktionsweise eines Dampfkraftwerks korrekt: es muss deutlich werden, dass Wasser verdampft wird und dieser Wasserdampf zum Antrieb der Dampfturbine genutzt wird.""}",2
95119_physik_2.3.8,95119,physik_2.3.8,Beschreibe die Bedeutung des Wirkungsgrades für Energieumwandlungen.,"Je niedriger der Wirkungsgrad ist , desto schlechter ist die
","Der Wirkungsgrad beschreibt, welcher Anteil der zugeführten, elektrischen Energie, in die gewünschte Energieform, Strahlungsenergie, umgewandelt wird. Ein hoher Wirkungsgrad bedeutet, dass viel Elektrische Energie in Strahlungsenergie umgewandelt wird. Ein niedriger Wirkungsgrad bedeutet, dass viel Elektrische Energie in thermische Energie umgewandelt wird, die nicht mehr zur Beleuchtung genutzt werden kann. ","{""0"": ""Die SuS nutzen weder zugeführte Energie noch nutzbare Energie bei der Erklärung des Wirkungsgrades."", ""1"": ""Die SuS nutzen entweder zugeführte Energie oder nutzbare Energie bei der Erklärung des Wirkungsgrades. oder- Die SuS nutzen Effizienz zur Beschreibung (nennen aber nur, beschreiben nicht exakt)"", ""2"": ""Die SuS nutzen zugeführte Energie und nutzbare Energie bei der Erklärung des Wirkungsgrades. oder- Die SuS nutzen die Effizienz zur Beschreibung (dabei muss aber genau beschrieben werden)""}",0
77105_physik_2.5.3,77105,physik_2.5.3,Berechne das Verhältnis von Strahlungsleistung zu elektrischer Leistung. Wie viel Prozent der Eingangsleistung wird zur Strahlung genutzt?,"Die restliche Energie geht als Abfall in z. B. thermischer Energie verloren
","Das Verhältnis von Strahlungsleistung zu elektrischer Leistung kannst du mit folgender Formel berechnen:η = Psl/Pel; η = WirkungsgradEnergiesparlampe: ηEsl = Psl/Pel = 4 W / 27,6 W = 0,145 = 14,5%,Glühlampe: ηGL = Psl/Pel = 4 W / 80,5 W = 0,050 = 5%,LED: ηLED = Psl/Pel = 4 W / 9,2 W = 0,435 = 43,5%","{""0"": ""Berechnen keinen Wirkungsgrad korrekt."", ""1"": ""Berechnen einen Wirkungsgrad korrekt."", ""2"": ""Berechnen mindestens zwei Wirkungsgrade korrekt.""}",0
90119_physik_4.7.6,90119,physik_4.7.6,Beschreibe das Power-to-Gas Verfahren in eigenen Worten.,"elektrische Energie lässt wasserstoff und Sauerstoff aus Wasser trennen
","Im Power-to-Gas-Verfahren (P2G) wird elektrischer Strom, zumeist aus erneuerbaren Energien, für die Umwandlung in Gas (Elektrolyse) genutzt. Das Gas wird in Gasspeichern zwischengelagert und kann andernorts in Gaskraftwerken wieder in Elektrische Energie umgewandelt werden. Der Prozess ist in der Hinsicht wirtschaftlich von Vorteil, da vor allem die überschüssige Elektrische Energie von erneuerbaren Anlagen genutzt wird.","{""0"": ""Die SuS formulieren keine korrekte Energieumwandlungskette."", ""1"": ""Die SuS formulieren eine teils korrekte Energieumwandlungskette (mindestens die Hälfte)"", ""2"": ""Die SuS formulieren die vollständige Energieumwandlungskette.""}",1
